sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:variable_name,ADD_INFO:variable_description,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
18,University,182,,education_status,Highest level of education,0.85,APPROVED,EQUAL,Reinp,1789033539691,45884846,Graduated from a college or university,Meas Value,MAPS_TO,,Reinp,1789033535352,
104,Tuberculosis,129,,a_hltb,Diagnosed with TB,1.00,APPROVED,EQUAL,Reinp,1788974481553,434557,Tuberculosis,Condition,MAPS_TO,,Reinp,1788974473652,
36,No religion,202,,a_rel,Religious affiliation,0.81,APPROVED,EQUAL,Reinp,1789035293667,4058124,Atheist,Observation,MAPS_TO,,Reinp,1789035287435,
83,could not get going,2902,,a_emogo,k10 - Respondent could not get going,0.57,APPROVED,EQUAL,Reinp,1788973823403,1761073,Lack of energy,Observation,MAPS_TO,,Reinp,1788973815537,
37,Other (specify),12,,a_rel,Religious affiliation,1.00,APPROVED,EQUAL,Reinp,1788975727827,45883155,Other (specify),Meas Value,MAPS_TO,,<auto>,1788968779251,
19,Marital status,2902,,marital_status,Marital status,1.00,APPROVED,EQUAL,Reinp,1788974538689,4053609,Marital status,Observation,MAPS_TO,,<auto>,1788968779754,
105,high blood pressure,564,,a_hlbp,Diagnosed with high blood pressure,1.00,APPROVED,EQUAL,Reinp,1788975435255,316866,Hypertensive disorder,Condition,MAPS_TO,,Reinp,1788975428077,
106,Diabetes,138,,a_hldia,Diagnosed with Diabetes,1.00,APPROVED,EQUAL,Reinp,1788975628558,201820,Diabetes mellitus,Condition,MAPS_TO,,Reinp,1788975602945,
72,Some or little of the time (1-2 days),947,,a_emoslp,k7 - Respondent's sleep was restless in past week?,0.64,APPROVED,EQUAL,Reinp,1788972452614,45879198,Some of the time,Meas Value,MAPS_TO,,Reinp,1788972408487,
107,Stroke,32,,a_hlstrk,Diagnosed with a stroke,1.00,APPROVED,EQUAL,Reinp,1788974455771,381316,Cerebrovascular accident,Condition,MAPS_TO,,Reinp,1788974446033,
